Centre for the Creative Arts and Media,Galway Campus
Dept of Building and Civil Engineering,Galway Campus
Dept of Computer Science & Applied Physics,Galway Campus
Dept of Culinary Arts,Galway Campus
Dept of Electronic and Electrical Engineering,Galway Campus
Dept of Heritage and Tourism,Galway Campus
Dept of Life and Physical Sciences,Galway Campus
Dept of Mechanical and Industrial Engineering,Galway Campus
Dept of Service Industries,Galway Campus
School of Business Department of Accounting & Information Systems,Galway Campus
National Centre for Excellence in Furniture Design and Technology,Galway Campus
School of Business Department of Management,Galway Campus
Department of Management,Mayo Campus
